State Agency or Indian Tribal Organization,01-10-2015 00:00,01-11-2015 00:00,01-12-2015 00:00,01-01-2016 00:00,01-02-2016 00:00,01-03-2016 00:00,01-04-2016 00:00,01-05-2016 00:00,01-06-2016 00:00,01-07-2016 00:00,01-08-2016 00:00,01-09-2016 00:00,Cumulative Cost
Arizona,7307560,6668110,4019185,9635416,6115899,6477673,6379153,6130913,3479496,9479008,6343427,7090461,79126301
California,57797645,55646273,55037406,56217613,52783036,54785878,55538764,52671166,53518938,52208722,51647462,51892264,649745167
Guam,581268,540987,544128,559407,554535,575554,571087,549228,562912,561253,564805,555620,6720784
Hawaii,1627016,1615656,1679488,1192839,2054817,1119446,1554390,2009820,1591950,1492001,1614000,1630482,19181905
Idaho,1462485,1461927,1452414,1475687,1341807,948797,1866800,1357638,869448,1798816,1320172,836494,16192485
Nevada,2731070,2548076,2622198,2678830,2310267,2473028,2482686,2410449,2414273,2471261,2418917,2410689,29971744
Oregon,3832901,3642919,3898775,3689920,3284550,3491103,3089394,2832020,3583542,3258557,3196435,3933749,41733865
Washington,7593554,7205458,7315086,7548169,6844786,7051603,7099856,6836729,7075694,6899569,6857746,7387447,85715697
Northern Marianas,247674,224750,225244,224804,186662,233163,277910,229707,180208,268073,225891,228952,2753038
"Inter-Tribal Council, AZ",389700,188072,386856,333141,320241,362526,329836,368682,392769,546052,357255,370924,4346054
"Navajo Nation, AZ",285272,844920,476162,412129,82389,22497,1064620,368663,396141,381745,380571,244392,4959501
"Inter-Tribal Council, NV",71211,44622,20997,44562,63694,-8152,64197,72064,5550,49625,47520,37381,513271
